id,title,description,availability,condition,price,link,image_link,brand
uhaul-mile-high,"U-Haul Moving & Storage at Mile High Station — propane fill, Denver","U-Haul Moving & Storage at Mile High Station at 2000 Old West Colfax Ave, Denver, CO 80204. FILL station: they put propane in the cylinder you already own. Phone 303-534-6072. Location page states it fills RVs, campers, forklift tanks, and portable tanks 3–100 lb, plus a free visual safety inspection. Inspection is not the same as DOT recertification. Address also appears as 2000 W Lower Colfax Ave on other U-Haul pages for the same location ID 935061. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertificati Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-mile-high,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-south-federal,"U-Haul Moving & Storage at South Federal — propane fill, Denver","U-Haul Moving & Storage at South Federal at 2322 S Federal Blvd, Denver, CO 80219. FILL station: they put propane in the cylinder you already own. Phone 303-922-8186. Southwest Denver fill. Official page states the location fills tanks from 3 lb up to 100 lb plus RVs. Call for current per-gallon price. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-south-federal,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-york,"U-Haul Moving & Storage at York — propane fill, Denver","U-Haul Moving & Storage at York at 7540 York St, Denver, CO 80229. FILL station: they put propane in the cylinder you already own. Phone 303-286-2766. North Denver / Thornton-adjacent fill (80229). Phone taken from U-Haul's Arvada propane results listing for this same store. Call for current per-gallon price. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-york,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-east-colfax,"U-Haul at East Colfax — propane fill, Denver","U-Haul at East Colfax at 8150 E Colfax Ave, Denver, CO 80220. FILL station: they put propane in the cylinder you already own. Phone 303-399-7010. East Denver fill near Aurora. Phone from U-Haul truck-sales results listing for this location. Call for current per-gallon price. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-east-colfax,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-alameda,"U-Haul at Alameda Ave — propane fill, Denver","U-Haul at Alameda Ave at 2645 W Alameda Ave, Denver, CO 80219. FILL station: they put propane in the cylinder you already own. Phone 303-922-8225. Southwest Denver fill, 4 blocks east of Federal. Official propane page states 3–100 lb plus RVs, campers, forklift tanks, and autogas. Phone from U-Haul’s Denver 80219 location-results listing for this same store (not printed on the propane page). Visual safety inspection is not DOT recertification. Call for current per-gallon price. U-Haul’s propane FAQ: they inspect tanks before refill but do no Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-alameda,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-lakewood,"U-Haul Moving & Storage of Lakewood — propane fill, Lakewood","U-Haul Moving & Storage of Lakewood at 830 Wadsworth Blvd, Lakewood, CO 80214. FILL station: they put propane in the cylinder you already own. Phone 303-202-0686. West-side fill north of 6th Ave on Wadsworth. Phone from U-Haul's Arvada propane results listing for this same store. Call for current per-gallon price. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-lakewood,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-garrison-jewell,"U-Haul at Garrison & Jewell — propane fill, Lakewood","U-Haul at Garrison & Jewell at 9190 W Jewell, Lakewood, CO 80232. FILL station: they put propane in the cylinder you already own. Phone 303-986-5873. West-metro fill. Location page states RVs, campers, and 3–100 lb portable tanks. Street line is published as “9190 W Jewell” (no Ave/Blvd on the propane page). U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-garrison-jewell,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-westminster,"U-Haul at Westminster — propane fill, Westminster","U-Haul at Westminster at 8001 Federal Blvd, Westminster, CO 80031. FILL station: they put propane in the cylinder you already own. Phone 303-426-6155. North metro fill at 80th and Federal. Phone from official U-Haul propane results. Call for current per-gallon price. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-westminster,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
airgas-franklin,"Airgas Store – N Franklin St — propane fill, Denver","Airgas Store – N Franklin St at 5691 N Franklin St, Denver, CO 80216. FILL station: they put propane in the cylinder you already own. Phone 303-477-8037. Official Airgas locator lists Propane Filling at this branch. Sister store at 4810 Vasquez Blvd (same zip) also lists propane filling and says it will fill most propane tanks. Call ahead if you are bringing a 20-lb grill cylinder rather than an industrial bottle. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#airgas-franklin,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
airgas-vasquez,"Airgas Store – Vasquez Blvd — propane fill, Denver","Airgas Store – Vasquez Blvd at 4810 Vasquez Blvd, Denver, CO 80216. FILL station: they put propane in the cylinder you already own. Phone 303-370-7800. Official page: 'Propane filling available at this location. Will fill most propane tanks.' Weekdays only. Call ahead for a 20-lb grill cylinder. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#airgas-vasquez,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
englewood-propane,"Englewood Propane — propane fill, Englewood","Englewood Propane at 1917 West Cornell Ave, Englewood, CO 80110. FILL station: they put propane in the cylinder you already own. Phone 303-761-8132. Independent. Site says they fill RVs, motorhomes, and cater trucks, and “provide certification for your propane cylinders.” Recert method (visual E vs hydro) was not stated. Not open Sunday on the published hours. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#englewood-propane,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
ferrellgas-henderson,"Ferrellgas – Henderson / Brighton Rd — propane fill, Henderson","Ferrellgas – Henderson / Brighton Rd at 9699 Brighton Rd, Henderson, CO 80640. FILL station: they put propane in the cylinder you already own. Phone 303-287-9700. Independent-style dealer office just NE of Commerce City / Thornton. Official page lists Grill Cylinder Refill, Cylinder Recertification, Propane Fueling Station, and grill-cylinder drop-off (next-day pickup). Phone from the Ferrellgas location listing that points at this same official URL. Call for price. Not a weekend option. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#ferrellgas-henderson,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
suburban-lakewood,"Suburban Propane – Lakewood — propane fill, Lakewood","Suburban Propane – Lakewood at 5725 W 11th Ave, Lakewood, CO 80214. FILL station: they put propane in the cylinder you already own. Phone 800-776-7263. Dealer office labeled a Customer Retail Location. Official page lists Cylinder Refills and Forklift Cylinder Service among services offered. Phone printed on the page is the national 24/7 line 1-800-PROPANE (800-776-7263); a local direct number was not on that page. 100-lb and RV onboard are not claimed. Weekdays only. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#suburban-lakewood,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
aaa-propane,"AAA Propane Sales & Rentals — propane fill, Wheat Ridge","AAA Propane Sales & Rentals at 7405 W. 44th Ave, Wheat Ridge, CO 80033. FILL station: they put propane in the cylinder you already own. Phone 303-425-7623. Independent, family-owned. Official About Us page: “We certify & repair all types of propane cylinders.” Recert method (visual E vs hydro) was not stated. Official pages also list propane filling, bottle sales/rentals, and parts. Sells cylinders 5 lb to 100 lb; filling-size list for walk-up fill is still not posted. Sunday closed. Call for price. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#aaa-propane,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
hico-englewood,"HICO Distributing of Colorado — propane fill, Englewood","HICO Distributing of Colorado at 2245 West College Ave, Englewood, CO 80110. FILL station: they put propane in the cylinder you already own. Phone 303-937-8007. In-house filling station. Same-time fill or next-day pickup. Page is titled refill and exchange, so this row is labeled both. Helium/balloon shop that also fills propane — call before you assume a walk-up grill fill is ready. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#hico-englewood,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
ace-green-mountain,"Colorado Ace Green Mountain — propane fill, Lakewood","Colorado Ace Green Mountain at 12035 W Alameda Pkwy, Lakewood, CO 80228. FILL station: they put propane in the cylinder you already own. Phone 303-988-1883. Owner site explicitly lists Propane Refill & Exchange: refill your tank or swap an empty cylinder. Ace.com store page confirms hours/phone/address. Call for price. Do not assume recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#ace-green-mountain,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
murdochs-littleton,"Murdoch's Ranch & Home Supply – Littleton — propane fill, Littleton","Murdoch's Ranch & Home Supply – Littleton at 12154 N Dumont Way, Littleton, CO 80125. FILL station: they put propane in the cylinder you already own. Phone 303-791-7800. Farm-and-home store south of the listed core cities. Corporate propane page says they fill to the legal limit and charge only for fuel put in; they also offer exchange. Recert is not done here — they tell you to visit a propane distributor. Littleton is not on the 'refills not available' exception list (Westminster Murdoch's is). Call for price. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#murdochs-littleton,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
ace-standley-shores,"Standley Shores Ace Hardware — propane fill, Westminster","Standley Shores Ace Hardware at 9979 Wadsworth Pkwy #200, Westminster, CO 80021. FILL station: they put propane in the cylinder you already own. Phone 720-443-5800. Owner site: propane tank fill and exchange, plus RV and other equipment. Ace.com store-details page matches address, phone, and hours. Call for price. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#ace-standley-shores,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
wagner-longmont,"Wagner Welding Supply & Metro Medical Oxygen — propane fill, Longmont","Wagner Welding Supply & Metro Medical Oxygen at 10 Gay Street, Longmont, CO 80501. FILL station: they put propane in the cylinder you already own. Phone 303-776-1491. Independent welding-gas shop in Longmont (north Front Range). Official propane and equipment pages say they inspect and re-certify propane cylinders, including while you wait if the cylinder is not damaged or excessively corroded. Recert method (visual E vs hydro) was not stated. They fill portable bottles including forklift and motorhome tanks; onboard ASME RV fill is not claimed. First-party hou Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#wagner-longmont,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-boulder,"U-Haul of Boulder — propane fill, Boulder","U-Haul of Boulder at 4640 Broadway St, Boulder, CO 80304. FILL station: they put propane in the cylinder you already own. Phone 303-442-2655. North Boulder fill (HWY 36 and North Broadway). Phone from official U-Haul propane results for this store. Locator gallons/price not republished. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/boulder.html#uhaul-boulder,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-longmont-hwy66,"U-Haul Moving & Storage of Longmont at Hwy 66 — propane fill, Longmont","U-Haul Moving & Storage of Longmont at Hwy 66 at 3885 Highland Dr, Longmont, CO 80504. FILL station: they put propane in the cylinder you already own. Phone 970-535-6262. East Longmont / Hwy 66 fill. Phone from official U-Haul propane results for this store. Locator gallons/price not republished. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/boulder.html#uhaul-longmont-hwy66,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
tsc-longmont,"Tractor Supply Co. #1997 — propane fill, Longmont","Tractor Supply Co. #1997 at 13778 East I 25 Frontage Road, Longmont, CO 80504. FILL station: they put propane in the cylinder you already own. Phone 970-535-4300. East Longmont / I-25 Frontage. Official Longmont store page and the Colorado store locator list propane tank refill. TSC Lafayette #2105 (825 N US-287) is still omitted: the store-specific refill page says propane refill is not available there. TSC says the majority of stores can fill RVs — call this Longmont store. Recertification is not claimed. Call for price. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/boulder.html#tsc-longmont,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
ace-longmont,"Ace Hardware Longmont — propane fill, Longmont","Ace Hardware Longmont at 1727 Main St, Longmont, CO 80501. FILL station: they put propane in the cylinder you already own. Phone 303-776-5173. Owner site (acelongmont.com) headline: We Refill and Exchange Propane. Hours, phone, and address from Ace.com store page. Tank sizes, RV onboard, and recert not stated. Call first. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/boulder.html#ace-longmont,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
